accesses get set
262145 3.797149658e-08 3.048377991e-06
524289 7.933807373e-08 2.959985733e-06
786433 1.4463679e-07 3.12273407e-06
1048577 2.084140778e-07 3.168124199e-06
1310721 2.725395203e-07 3.37485733e-06
1572865 3.051446279e-07 3.269946416e-06
1835009 3.384268624e-07 3.185553415e-06
2097153 3.734617233e-07 3.120488167e-06
2359297 4.085816277e-07 3.06149843e-06
2621441 4.436683655e-07 3.179311371e-06
2883585 4.768218994e-07 3.105819355e-06
3145729 5.097036362e-07 3.040391604e-06
3407873 5.414616511e-07 2.979402689e-06
3670017 5.730495453e-07 2.92401668e-06
3932161 6.047645569e-07 2.871750132e-06
4194305 6.35491848e-07 2.824037552e-06
4456449 6.655217339e-07 2.778811062e-06
4718593 6.950257619e-07 2.736559762e-06
4980737 7.240498191e-07 2.695894342e-06
5242881 7.522809982e-07 2.656932068e-06
5505025 7.798847017e-07 2.619411469e-06
5767169 8.070631894e-07 2.583138899e-06
6029313 8.336178324e-07 2.548955669e-06
6291457 8.596189817e-07 2.515778701e-06
6553601 8.84070282e-07 2.627254334e-06
6815745 9.064229819e-07 2.587261934e-06
7077889 9.281535679e-07 2.54913867e-06
7340033 9.494634356e-07 2.511757442e-06
7602177 9.703945292e-07 2.47597701e-06
7864321 9.905507406e-07 2.441355769e-06
8126465 1.010628116e-06 2.408467201e-06
8388609 1.030359626e-06 2.376316905e-06
8650753 1.049624472e-06 2.345314951e-06
8912897 1.068431406e-06 2.315420712e-06
9175041 1.086934444e-06 2.286486054e-06
9437185 1.105243259e-06 2.25845178e-06
9699329 1.123126262e-06 2.230983322e-06
9961473 1.140757611e-06 2.204274328e-06
10223617 1.157836914e-06 2.17857488e-06
10485761 1.174933243e-06 2.153456879e-06
10747905 1.191554465e-06 2.128786041e-06
11010049 1.207753136e-06 2.10498165e-06
11272193 1.22389443e-06 2.081755882e-06
11534337 1.239702572e-06 2.05905845e-06
11796481 1.255241394e-06 2.03681327e-06
12058625 1.270407304e-06 2.015239964e-06
12320769 1.285235466e-06 1.994154748e-06
12582913 1.299986442e-06 1.973316908e-06
12845057 1.314407271e-06 1.953109041e-06
13107201 1.328538895e-06 1.933369827e-06
13369345 1.342473124e-06 1.913925395e-06
13631489 1.356179824e-06 1.895043667e-06
13893633 1.369675978e-06 1.876507309e-06
14155777 1.382893668e-06 1.858322285e-06
14417921 1.396027582e-06 1.84042615e-06
14680065 1.408846174e-06 1.823077338e-06
14942209 1.421484629e-06 1.806082274e-06
15204353 1.434039017e-06 1.789333146e-06
15466497 1.446285377e-06 1.772922516e-06
15728641 1.458312098e-06 1.756701533e-06
15990785 1.47019058e-06 1.740815898e-06
16252929 1.481896185e-06 1.72514171e-06
16515073 1.493390522e-06 1.709926303e-06
16777217 1.504777789e-06 1.694885075e-06
17039361 1.516436943e-06 1.680147729e-06
17301505 1.527395595e-06 1.665639877e-06
17563649 1.538714338e-06 1.788514265e-06
17825793 1.549880252e-06 1.922889429e-06
18087937 1.56069023e-06 2.056184796e-06
18350081 1.57126552e-06 2.1902165e-06
18612225 1.581557207e-06 2.317965655e-06
18874369 1.591561317e-06 2.442906062e-06
19136513 1.601374325e-06 2.565760312e-06
19398657 1.611028052e-06 2.691859323e-06
19660801 1.620208638e-06 2.803346761e-06
19922945 1.629165499e-06 2.91096095e-06
20185089 1.63793217e-06 3.020691463e-06
20447233 1.64654003e-06 3.123425802e-06
20709377 1.655012927e-06 3.237971439e-06
20971521 1.663267851e-06 3.336595011e-06
21233665 1.671362841e-06 3.434756338e-06
21495809 1.679302122e-06 3.542638453e-06
21757953 1.687382296e-06 3.636006918e-06
22020097 1.694967315e-06 3.743252118e-06
22282241 1.702405189e-06 3.834498417e-06
