accesses get set
262145 3.128433228e-08 2.741939545e-06
524289 6.445121765e-08 2.603656769e-06
786433 9.770584106e-08 2.628013611e-06
1048577 1.305027008e-07 2.55903244e-06
1310721 1.657707214e-07 2.65374527e-06
1572865 2.017180125e-07 2.577019374e-06
1835009 2.356125968e-07 2.51751491e-06
2097153 2.684402466e-07 2.467072487e-06
2359297 2.99724155e-07 2.422651927e-06
2621441 3.674694061e-07 2.6216259e-06
2883585 3.873003179e-07 2.547079953e-06
3145729 4.073050817e-07 2.480991682e-06
3407873 4.277434716e-07 2.422506186e-06
3670017 4.480160304e-07 2.369083677e-06
3932161 4.687327067e-07 2.319366455e-06
4194305 4.885439873e-07 2.273752213e-06
4456449 5.081318126e-07 2.231057784e-06
4718593 5.275334252e-07 2.191373401e-06
4980737 5.466690063e-07 2.153760007e-06
5242881 5.657363892e-07 2.118170929e-06
5505025 5.842058091e-07 2.084390004e-06
5767169 6.027549397e-07 2.051966754e-06
6029313 6.20505789e-07 2.0213633e-06
6291457 6.381367047e-07 1.991869926e-06
6553601 6.544770813e-07 2.109581604e-06
6815745 6.696417882e-07 2.073160612e-06
7077889 6.840633816e-07 2.038741218e-06
7340033 6.982242039e-07 2.005804471e-06
7602177 7.122892183e-07 1.974237508e-06
7864321 7.258516948e-07 1.944008509e-06
8126465 7.391850872e-07 1.915027372e-06
8388609 7.524411679e-07 1.886942863e-06
8650753 7.653117325e-07 1.859995871e-06
8912897 7.780650644e-07 1.834097694e-06
9175041 7.905488151e-07 1.809025247e-06
9437185 8.028509352e-07 1.784717348e-06
9699329 8.150447124e-07 1.761250573e-06
9961473 8.270285757e-07 1.738590742e-06
10223617 8.385714996e-07 1.716687618e-06
10485761 8.499406815e-07 1.695275211e-06
10747905 8.612554597e-07 1.67453189e-06
11010049 8.722824824e-07 1.654440471e-06
11272193 8.830699478e-07 1.634753294e-06
11534337 8.937412609e-07 1.615613504e-06
11796481 9.04308743e-07 1.5969546e-06
12058625 9.144489455e-07 1.578839841e-06
12320769 9.244504077e-07 1.56125584e-06
12582913 9.343713125e-07 1.54393808e-06
