time app subpolicy target_mem credit_bytes share min_mem min_mem_pct steal_size bytes_in_use need hits accesses shadow_q_hits survivor_items survivor_bytes evicted_items evicted_bytes hit_rate w_hit_rate live_items 
30000003 2 normal 100000000 0 100000000 10000000 10 65536 162752118 0.614431 0 0 92 1021466 340139856 41040 13615068 -nan -1 486687 
30000003 1 normal 200000000 0 200000000 20000000 10 65536 115541364 1.73098 0 0 0 485213 97388360 0 0 -nan -1 570577 
30007233 2 normal 100000000 0 100000000 10000000 10 65536 162786180 0.614303 38 145 93 1021466 340139856 41040 13615068 0.262069 -1 486808 
30007233 1 normal 200000000 0 200000000 20000000 10 65536 115573088 1.73051 18 150 0 485213 97388360 0 0 0.12 -1 570726 
30010835 2 normal 100000000 0 100000000 10000000 10 65536 162799820 0.614251 57 220 93 1021466 340139856 41040 13615068 0.259091 -1 486872 
30010835 1 normal 200000000 0 200000000 20000000 10 65536 115584324 1.73034 32 227 0 485213 97388360 0 0 0.140969 -1 570803 
30014409 2 normal 100000000 0 100000000 10000000 10 65536 162814752 0.614195 73 291 94 1021466 340139856 41040 13615068 0.250859 -1 486935 
30014409 1 normal 200000000 0 200000000 20000000 10 65536 115594470 1.73019 40 293 0 485213 97388360 0 0 0.136519 -1 570869 
30018007 2 normal 100000000 0 100000000 10000000 10 65536 162840775 0.614097 88 360 94 1021466 340139856 41040 13615068 0.244444 -1 486993 
30018007 1 normal 200000000 0 200000000 20000000 10 65536 115606025 1.73001 47 348 0 485213 97388360 0 0 0.135057 -1 570924 
30021627 2 normal 100000000 0 100000000 10000000 10 65536 162858520 0.61403 103 430 94 1021466 340139856 41040 13615068 0.239535 -1 487052 
30021627 1 normal 200000000 0 200000000 20000000 10 65536 115620198 1.7298 54 419 0 485213 97388360 0 0 0.128878 -1 570995 
30025204 2 normal 100000000 0 100000000 10000000 10 65536 162876426 0.613962 126 501 94 1021466 340139856 41040 13615068 0.251497 -1 487105 
30025204 1 normal 200000000 0 200000000 20000000 10 65536 115644700 1.72944 70 500 0 485213 97388360 0 0 0.14 -1 571075 
30028815 2 normal 100000000 0 100000000 10000000 10 65536 162903130 0.613862 141 574 95 1021466 340139856 41040 13615068 0.245645 -1 487170 
30028815 1 normal 200000000 0 200000000 20000000 10 65536 115654269 1.72929 77 570 0 485213 97388360 0 0 0.135088 -1 571145 
30032404 2 normal 100000000 0 100000000 10000000 10 65536 162922644 0.613788 161 640 95 1021466 340139856 41040 13615068 0.251563 -1 487224 
30032404 1 normal 200000000 0 200000000 20000000 10 65536 115670925 1.72904 91 638 0 485213 97388360 0 0 0.142633 -1 571213 
30036009 2 normal 100000000 0 100000000 10000000 10 65536 162935654 0.613739 174 707 95 1021466 340139856 41040 13615068 0.24611 -1 487281 
30036009 1 normal 200000000 0 200000000 20000000 10 65536 115680734 1.7289 106 716 0 485213 97388360 0 0 0.148045 -1 571291 
30039613 2 normal 100000000 0 100000000 10000000 10 65536 162955580 0.613664 191 775 96 1021466 340139856 41040 13615068 0.246452 -1 487339 
30039613 1 normal 200000000 0 200000000 20000000 10 65536 115694738 1.72869 121 780 0 485213 97388360 0 0 0.155128 -1 571354 
30043276 2 normal 100000000 0 100000000 10000000 10 65536 162136112 0.616766 203 841 96 1065587 355026097 43108 14273971 0.241379 -1 484853 
30043276 1 normal 200000000 0 200000000 20000000 10 65536 115515193 1.73137 135 847 0 510220 102418111 0 0 0.159386 -1 570454 
30046813 2 normal 100000000 0 100000000 10000000 10 65536 162157022 0.616686 220 913 97 1065587 355026097 43108 14273971 0.240964 -1 484917 
30046813 1 normal 200000000 0 200000000 20000000 10 65536 115530473 1.73114 145 921 0 510220 102418111 0 0 0.157438 -1 570528 
30050404 2 normal 100000000 0 100000000 10000000 10 65536 162175491 0.616616 241 985 97 1065587 355026097 43108 14273971 0.24467 -1 484978 
30050404 1 normal 200000000 0 200000000 20000000 10 65536 115546826 1.7309 150 982 0 510220 102418111 0 0 0.152749 -1 570589 
30054027 2 normal 100000000 0 100000000 10000000 10 65536 162189677 0.616562 257 1048 97 1065587 355026097 43108 14273971 0.245229 -1 485028 
