time app subpolicy target_mem credit_bytes share min_mem min_mem_pct steal_size bytes_in_use need hits accesses shadow_q_hits survivor_items survivor_bytes evicted_items evicted_bytes hit_rate w_hit_rate live_items 
27 2 normal 100000000 0 100000000 10000000 10 65536 0 inf 0 0 0 0 0 0 0 -nan -1 0 
27 1 normal 200000000 0 200000000 20000000 10 65536 0 inf 0 0 0 0 0 0 0 -nan -1 0 
7247 2 normal 100000000 0 100000000 10000000 10 65536 47807 2091.74 0 141 0 0 0 0 0 0 -1 141 
7247 1 normal 200000000 0 200000000 20000000 10 65536 28521 7012.38 0 148 0 0 0 0 0 0 -1 148 
10831 2 normal 100000000 0 100000000 10000000 10 65536 68134 1467.7 0 216 0 0 0 0 0 0 -1 216 
10831 1 normal 200000000 0 200000000 20000000 10 65536 38438 5203.18 0 207 0 0 0 0 0 0 -1 207 
14434 2 normal 100000000 0 100000000 10000000 10 65536 93878 1065.21 0 286 0 0 0 0 0 0 -1 286 
14434 1 normal 200000000 0 200000000 20000000 10 65536 56927 3513.27 0 276 0 0 0 0 0 0 -1 276 
18096 2 normal 100000000 0 100000000 10000000 10 65536 118834 841.51 0 357 0 0 0 0 0 0 -1 357 
18096 1 normal 200000000 0 200000000 20000000 10 65536 71341 2803.44 0 358 0 0 0 0 0 0 -1 358 
21645 2 normal 100000000 0 100000000 10000000 10 65536 138768 720.627 0 421 0 0 0 0 0 0 -1 421 
21645 1 normal 200000000 0 200000000 20000000 10 65536 86403 2314.73 0 422 0 0 0 0 0 0 -1 422 
25236 2 normal 100000000 0 100000000 10000000 10 65536 168210 594.495 0 495 0 0 0 0 0 0 -1 495 
25236 1 normal 200000000 0 200000000 20000000 10 65536 102885 1943.92 0 499 0 0 0 0 0 0 -1 499 
28922 2 normal 100000000 0 100000000 10000000 10 65536 188433 530.693 0 568 0 0 0 0 0 0 -1 568 
28922 1 normal 200000000 0 200000000 20000000 10 65536 118342 1690.02 0 571 0 0 0 0 0 0 -1 571 
32440 2 normal 100000000 0 100000000 10000000 10 65536 202834 493.014 0 613 0 0 0 0 0 0 -1 613 
32440 1 normal 200000000 0 200000000 20000000 10 65536 127721 1565.91 0 634 0 0 0 0 0 0 -1 634 
36057 2 normal 100000000 0 100000000 10000000 10 65536 225257 443.937 0 687 0 0 0 0 0 0 -1 687 
36057 1 normal 200000000 0 200000000 20000000 10 65536 143837 1390.46 0 717 0 0 0 0 0 0 -1 717 
39665 2 normal 100000000 0 100000000 10000000 10 65536 242533 412.315 0 754 0 0 0 0 0 0 -1 754 
39665 1 normal 200000000 0 200000000 20000000 10 65536 157028 1273.66 0 786 0 0 0 0 0 0 -1 786 
43247 2 normal 100000000 0 100000000 10000000 10 65536 262986 380.248 0 815 0 0 0 0 0 0 -1 815 
43247 1 normal 200000000 0 200000000 20000000 10 65536 166466 1201.45 0 853 0 0 0 0 0 0 -1 853 
46842 2 normal 100000000 0 100000000 10000000 10 65536 283345 352.927 0 882 0 0 0 0 0 0 -1 882 
46842 1 normal 200000000 0 200000000 20000000 10 65536 181078 1104.5 0 936 0 0 0 0 0 0 -1 936 
50452 2 normal 100000000 0 100000000 10000000 10 65536 309591 323.007 0 952 0 0 0 0 0 0 -1 952 
50452 1 normal 200000000 0 200000000 20000000 10 65536 197868 1010.77 0 1013 0 0 0 0 0 0 -1 1013 
54033 2 normal 100000000 0 100000000 10000000 10 65536 337512 296.286 0 1035 0 0 0 0 0 0 -1 1035 
54033 1 normal 200000000 0 200000000 20000000 10 65536 216082 925.575 0 1088 0 0 0 0 0 0 -1 1088 
57650 2 normal 100000000 0 100000000 10000000 10 65536 366019 273.21 0 1118 0 0 0 0 0 0 -1 1118 
57650 1 normal 200000000 0 200000000 20000000 10 65536 224129 892.343 0 1151 0 0 0 0 0 0 -1 1151 
61237 2 normal 100000000 0 100000000 10000000 10 65536 390778 255.9 0 1192 0 0 0 0 0 0 -1 1192 
61237 1 normal 200000000 0 200000000 20000000 10 65536 242039 826.313 0 1219 0 0 0 0 0 0 -1 1219 
64830 2 normal 100000000 0 100000000 10000000 10 65536 412254 242.569 0 1271 0 0 0 0 0 0 -1 1271 
64830 1 normal 200000000 0 200000000 20000000 10 65536 256427 779.949 0 1295 0 0 0 0 0 0 -1 1295 
68469 2 normal 100000000 0 100000000 10000000 10 65536 431941 231.513 0 1335 0 0 0 0 0 0 -1 1335 
68469 1 normal 200000000 0 200000000 20000000 10 65536 269521 742.057 0 1377 0 0 0 0 0 0 -1 1377 
