time app subpolicy target_mem credit_bytes share min_mem min_mem_pct steal_size bytes_in_use need hits accesses shadow_q_hits survivor_items survivor_bytes evicted_items evicted_bytes hit_rate w_hit_rate live_items 
20000000 2 normal 800000000 0 800000000 80000000 10 65536 394831971 2.02618 0 0 0 0 0 0 0 -nan -1 1908138 
20000000 1 normal 800000000 0 800000000 80000000 10 65536 840145868 0.952216 0 0 0 0 0 0 0 -nan -1 4062281 
20200001 2 normal 800000000 0 800000000 80000000 10 65536 395212714 2.02423 98160 100000 0 0 0 0 0 0.9816 -1 1909978 
20200001 1 normal 800000000 0 800000000 80000000 10 65536 843205388 0.948761 85206 100001 0 0 0 0 0 0.852051 -1 4077076 
20300001 2 normal 800000000 0 800000000 80000000 10 65536 395398742 2.02327 147261 150000 0 0 0 0 0 0.98174 -1 1910877 
20300001 1 normal 800000000 0 800000000 80000000 10 65536 844695131 0.947087 128002 150001 0 0 0 0 0 0.853341 -1 4084280 
20400001 2 normal 800000000 0 800000000 80000000 10 65536 395577099 2.02236 196399 200000 0 0 0 0 0 0.981995 -1 1911739 
20400001 1 normal 800000000 0 800000000 80000000 10 65536 846168154 0.945439 170879 200001 0 0 0 0 0 0.854391 -1 4091403 
20500001 2 normal 800000000 0 800000000 80000000 10 65536 395753203 2.02146 245548 250000 0 0 0 0 0 0.982192 -1 1912590 
20500001 1 normal 800000000 0 800000000 80000000 10 65536 847633067 0.943805 213795 250001 0 0 0 0 0 0.855177 -1 4098487 
20600001 2 normal 800000000 0 800000000 80000000 10 65536 395930340 2.02056 294692 300000 0 0 0 0 0 0.982307 -1 1913446 
20600001 1 normal 800000000 0 800000000 80000000 10 65536 849109997 0.942163 256653 300001 0 0 0 0 0 0.855507 -1 4105629 
20700001 2 normal 800000000 0 800000000 80000000 10 65536 396092161 2.01973 343910 350000 0 0 0 0 0 0.9826 -1 1914228 
20700001 1 normal 800000000 0 800000000 80000000 10 65536 850566970 0.940549 299608 350001 0 0 0 0 0 0.85602 -1 4112674 
20800001 2 normal 800000000 0 800000000 80000000 10 65536 396272815 2.01881 393037 400000 0 0 0 0 0 0.982592 -1 1915101 
20800001 1 normal 800000000 0 800000000 80000000 10 65536 851988836 0.938979 342732 400001 0 0 0 0 0 0.856828 -1 4119550 
20900001 2 normal 800000000 0 800000000 80000000 10 65536 396437748 2.01797 442240 450000 0 0 0 0 0 0.982756 -1 1915898 
20900001 1 normal 800000000 0 800000000 80000000 10 65536 853400797 0.937426 385904 450001 0 0 0 0 0 0.857563 -1 4126378 
21000001 2 normal 800000000 0 800000000 80000000 10 65536 396604547 2.01712 491434 500000 0 0 0 0 0 0.982868 0.982868 1916704 
21000001 1 normal 800000000 0 800000000 80000000 10 65536 854813400 0.935877 429073 500001 0 0 0 0 0 0.858144 0.858144 4133209 
21100001 2 normal 800000000 0 800000000 80000000 10 65536 396774650 2.01626 540612 550000 0 0 0 0 0 0.982931 -1 1917526 
21100001 1 normal 800000000 0 800000000 80000000 10 65536 856225038 0.934334 472247 550001 0 0 0 0 0 0.858629 -1 4140035 
21200001 2 normal 800000000 0 800000000 80000000 10 65536 396930673 2.01547 589858 600000 0 0 0 0 0 0.983097 -1 1918280 
21200001 1 normal 800000000 0 800000000 80000000 10 65536 857614664 0.93282 515527 600001 0 0 0 0 0 0.85921 -1 4146755 
21300001 2 normal 800000000 0 800000000 80000000 10 65536 397093742 2.01464 639070 650000 0 0 0 0 0 0.983185 -1 1919068 
21300001 1 normal 800000000 0 800000000 80000000 10 65536 858980068 0.931337 558924 650001 0 0 0 0 0 0.859882 -1 4153358 
21400001 2 normal 800000000 0 800000000 80000000 10 65536 397256605 2.01381 688283 700000 0 0 0 0 0 0.983261 -1 1919855 
21400001 1 normal 800000000 0 800000000 80000000 10 65536 860353559 0.92985 602282 700001 0 0 0 0 0 0.860402 -1 4160000 
21500001 2 normal 800000000 0 800000000 80000000 10 65536 397417400 2.013 737506 750000 0 0 0 0 0 0.983341 -1 1920632 
21500001 1 normal 800000000 0 800000000 80000000 10 65536 861688597 0.92841 645826 750001 0 0 0 0 0 0.8611 -1 4166456 
21600001 2 normal 800000000 0 800000000 80000000 10 65536 397564739 2.01225 786794 800000 0 0 0 0 0 0.983492 -1 1921344 
21600001 1 normal 800000000 0 800000000 80000000 10 65536 863070314 0.926923 689144 800001 0 0 0 0 0 0.861429 -1 4173138 
21700001 2 normal 800000000 0 800000000 80000000 10 65536 397718497 2.01147 836051 850000 0 0 0 0 0 0.983589 -1 1922087 
21700001 1 normal 800000000 0 800000000 80000000 10 65536 864410145 0.925487 732665 850001 0 0 0 0 0 0.861958 -1 4179617 
21800001 2 normal 800000000 0 800000000 80000000 10 65536 397878246 2.01067 885279 900000 0 0 0 0 0 0.983643 -1 1922859 
21800001 1 normal 800000000 0 800000000 80000000 10 65536 865748108 0.924056 776195 900001 0 0 0 0 0 0.862438 -1 4186087 
21900001 2 normal 800000000 0 800000000 80000000 10 65536 398029320 2.0099 934549 950000 0 0 0 0 0 0.983736 -1 1923589 
21900001 1 normal 800000000 0 800000000 80000000 10 65536 867049438 0.922669 819902 950001 0 0 0 0 0 0.863054 -1 4192380 
22000001 2 normal 800000000 0 800000000 80000000 10 65536 398177693 2.00915 983832 1000000 0 0 0 0 0 0.983832 0.984796 1924306 
22000001 1 normal 800000000 0 800000000 80000000 10 65536 868341261 0.921297 863655 1000001 0 0 0 0 0 0.863654 0.869164 4198627 
22100001 2 normal 800000000 0 800000000 80000000 10 65536 398319448 2.00844 1033147 1050000 0 0 0 0 0 0.98395 -1 1924991 
22100001 1 normal 800000000 0 800000000 80000000 10 65536 869633849 0.919927 907404 1050001 0 0 0 0 0 0.864193 -1 4204878 
22200001 2 normal 800000000 0 800000000 80000000 10 65536 398469472 2.00768 1082422 1100000 0 0 0 0 0 0.98402 -1 1925716 
22200001 1 normal 800000000 0 800000000 80000000 10 65536 870906061 0.918584 951252 1100001 0 0 0 0 0 0.864774 -1 4211030 
22300001 2 normal 800000000 0 800000000 80000000 10 65536 398611424 2.00697 1131736 1150000 0 0 0 0 0 0.984118 -1 1926402 
22300001 1 normal 800000000 0 800000000 80000000 10 65536 872173099 0.917249 995125 1150001 0 0 0 0 0 0.865325 -1 4217157 
22400001 2 normal 800000000 0 800000000 80000000 10 65536 398756695 2.00624 1181034 1200000 0 0 0 0 0 0.984195 -1 1927104 
22400001 1 normal 800000000 0 800000000 80000000 10 65536 873429602 0.91593 1039049 1200001 0 0 0 0 0 0.865873 -1 4223233 
22500001 2 normal 800000000 0 800000000 80000000 10 65536 398905277 2.00549 1230316 1250000 0 0 0 0 0 0.984253 -1 1927822 
22500001 1 normal 800000000 0 800000000 80000000 10 65536 874688171 0.914612 1082963 1250001 0 0 0 0 0 0.86637 -1 4229319 
22600001 2 normal 800000000 0 800000000 80000000 10 65536 399048283 2.00477 1279625 1300000 0 0 0 0 0 0.984327 -1 1928513 
22600001 1 normal 800000000 0 800000000 80000000 10 65536 875927250 0.913318 1126971 1300001 0 0 0 0 0 0.8669 -1 4235311 
22700001 2 normal 800000000 0 800000000 80000000 10 65536 399188590 2.00407 1328947 1350000 0 0 0 0 0 0.984405 -1 1929191 
22700001 1 normal 800000000 0 800000000 80000000 10 65536 877169665 0.912024 1170963 1350001 0 0 0 0 0 0.867379 -1 4241319 
22800001 2 normal 800000000 0 800000000 80000000 10 65536 399319794 2.00341 1378313 1400000 0 0 0 0 0 0.984509 -1 1929825 
22800001 1 normal 800000000 0 800000000 80000000 10 65536 878384761 0.910763 1215087 1400001 0 0 0 0 0 0.867919 -1 4247195 
22900001 2 normal 800000000 0 800000000 80000000 10 65536 399443757 2.00279 1427714 1450000 0 0 0 0 0 0.98463 -1 1930424 
22900001 1 normal 800000000 0 800000000 80000000 10 65536 879586578 0.909518 1259275 1450001 0 0 0 0 0 0.868465 -1 4253007 
23000001 2 normal 800000000 0 800000000 80000000 10 65536 399576818 2.00212 1477071 1500000 0 0 0 0 0 0.984714 0.986478 1931067 
23000001 1 normal 800000000 0 800000000 80000000 10 65536 880789126 0.908276 1303460 1500001 0 0 0 0 0 0.868973 0.87961 4258822 
23100001 2 normal 800000000 0 800000000 80000000 10 65536 399708424 2.00146 1526435 1550000 0 0 0 0 0 0.984797 -1 1931703 
23100001 1 normal 800000000 0 800000000 80000000 10 65536 881981035 0.907049 1347696 1550001 0 0 0 0 0 0.869481 -1 4264586 
23200001 2 normal 800000000 0 800000000 80000000 10 65536 399846668 2.00077 1575767 1600000 0 0 0 0 0 0.984854 -1 1932371 
23200001 1 normal 800000000 0 800000000 80000000 10 65536 883172946 0.905825 1391932 1600001 0 0 0 0 0 0.869957 -1 4270350 
23300001 2 normal 800000000 0 800000000 80000000 10 65536 399982016 2.00009 1625113 1650000 0 0 0 0 0 0.984917 -1 1933025 
23300001 1 normal 800000000 0 800000000 80000000 10 65536 884341919 0.904627 1436279 1650001 0 0 0 0 0 0.870472 -1 4276003 
23400001 2 normal 800000000 0 800000000 80000000 10 65536 400109501 1.99945 1674497 1700000 0 0 0 0 0 0.984998 -1 1933641 
23400001 1 normal 800000000 0 800000000 80000000 10 65536 885537311 0.903406 1480498 1700001 0 0 0 0 0 0.870881 -1 4281784 
23500001 2 normal 800000000 0 800000000 80000000 10 65536 400240298 1.9988 1723865 1750000 0 0 0 0 0 0.985066 -1 1934273 
23500001 1 normal 800000000 0 800000000 80000000 10 65536 886697237 0.902225 1524889 1750001 0 0 0 0 0 0.871365 -1 4287393 
23600001 2 normal 800000000 0 800000000 80000000 10 65536 400375845 1.99812 1773210 1800000 0 0 0 0 0 0.985117 -1 1934928 
23600001 1 normal 800000000 0 800000000 80000000 10 65536 887855701 0.901047 1569287 1800001 0 0 0 0 0 0.871826 -1 4292995 
23700001 2 normal 800000000 0 800000000 80000000 10 65536 400495674 1.99752 1822631 1850000 0 0 0 0 0 0.985206 -1 1935507 
23700001 1 normal 800000000 0 800000000 80000000 10 65536 888970734 0.899917 1613895 1850001 0 0 0 0 0 0.872375 -1 4298387 
23800001 2 normal 800000000 0 800000000 80000000 10 65536 400620057 1.9969 1872030 1900000 0 0 0 0 0 0.985279 -1 1936108 
23800001 1 normal 800000000 0 800000000 80000000 10 65536 890088846 0.898787 1658488 1900001 0 0 0 0 0 0.872888 -1 4303794 
23900001 2 normal 800000000 0 800000000 80000000 10 65536 400740505 1.9963 1921448 1950000 0 0 0 0 0 0.985358 -1 1936690 
23900001 1 normal 800000000 0 800000000 80000000 10 65536 891201356 0.897665 1703108 1950001 0 0 0 0 0 0.873388 -1 4309174 
24000001 2 normal 800000000 0 800000000 80000000 10 65536 400865301 1.99568 1970845 2000000 0 0 0 0 0 0.985422 0.987548 1937293 
24000001 1 normal 800000000 0 800000000 80000000 10 65536 892312816 0.896547 1747733 2000001 0 0 0 0 0 0.873866 0.888546 4314549 
24100001 2 normal 800000000 0 800000000 80000000 10 65536 400991746 1.99505 2020234 2050000 0 0 0 0 0 0.98548 -1 1937904 
24100001 1 normal 800000000 0 800000000 80000000 10 65536 893424761 0.895431 1792356 2050001 0 0 0 0 0 0.87432 -1 4319926 
24200001 2 normal 800000000 0 800000000 80000000 10 65536 401116750 1.99443 2069630 2100000 0 0 0 0 0 0.985538 -1 1938508 
24200001 1 normal 800000000 0 800000000 80000000 10 65536 894505864 0.894349 1837128 2100001 0 0 0 0 0 0.874822 -1 4325154 
24300001 2 normal 800000000 0 800000000 80000000 10 65536 401237816 1.99383 2119045 2150000 0 0 0 0 0 0.985602 -1 1939093 
24300001 1 normal 800000000 0 800000000 80000000 10 65536 895581150 0.893275 1881928 2150001 0 0 0 0 0 0.875315 -1 4330354 
24400001 2 normal 800000000 0 800000000 80000000 10 65536 401355368 1.99325 2168477 2200000 0 0 0 0 0 0.985671 -1 1939661 
24400001 1 normal 800000000 0 800000000 80000000 10 65536 896648369 0.892212 1926767 2200001 0 0 0 0 0 0.875803 -1 4335515 
24500001 2 normal 800000000 0 800000000 80000000 10 65536 401476226 1.99265 2217893 2250000 0 0 0 0 0 0.98573 -1 1940245 
24500001 1 normal 800000000 0 800000000 80000000 10 65536 897716046 0.89115 1971604 2250001 0 0 0 0 0 0.876268 -1 4340678 
24600001 2 normal 800000000 0 800000000 80000000 10 65536 401590256 1.99208 2267342 2300000 0 0 0 0 0 0.985801 -1 1940796 
24600001 1 normal 800000000 0 800000000 80000000 10 65536 898773110 0.890102 2016492 2300001 0 0 0 0 0 0.876735 -1 4345790 
24700001 2 normal 800000000 0 800000000 80000000 10 65536 401704702 1.99151 2316789 2350000 0 0 0 0 0 0.985868 -1 1941349 
24700001 1 normal 800000000 0 800000000 80000000 10 65536 899830233 0.889057 2061380 2350001 0 0 0 0 0 0.877183 -1 4350902 
24800001 2 normal 800000000 0 800000000 80000000 10 65536 401814601 1.99097 2366258 2400000 0 0 0 0 0 0.985941 -1 1941880 
24800001 1 normal 800000000 0 800000000 80000000 10 65536 900882605 0.888018 2106291 2400001 0 0 0 0 0 0.877621 -1 4355991 
