time app subpolicy target_mem credit_bytes share min_mem min_mem_pct steal_size bytes_in_use need hits accesses shadow_q_hits survivor_items survivor_bytes evicted_items evicted_bytes hit_rate w_hit_rate live_items 
20000000 2 normal 800000000 -9175040 790824960 80000000 10 65536 650931027 1.21491 0 0 0 30534814 10234352833 0 0 -nan -1 1943370 
20000000 1 normal 800000000 9175040 809175040 80000000 10 65536 832459253 0.97203 0 0 140 172409861 34825172109 7565 1611816 -nan -1 4117933 
20200001 2 normal 800000000 -17367040 782632960 80000000 10 65536 651172105 1.20188 98119 100000 0 32299477 10824396483 0 0 0.98119 -1 1944165 
20200001 1 normal 800000000 17367040 817367040 80000000 10 65536 834639127 0.979306 84518 99440 266 182793105 36924049252 10772 2304712 0.84994 -1 4127541 
20300001 2 normal 800000000 -21233664 778766336 80000000 10 65536 651167457 1.19595 147197 150000 0 33213336 11130299696 0 0 0.981313 -1 1943812 
20300001 1 normal 800000000 21233664 821233664 80000000 10 65536 835439593 0.982996 126979 149188 325 188449406 38067641776 12564 2663457 0.851134 -1 4131885 
20400001 2 normal 800000000 -27721728 772278272 80000000 10 65536 651253370 1.18583 196313 200000 0 34179889 11453950818 0 0 0.981565 -1 1944187 
20400001 1 normal 800000000 27721728 827721728 80000000 10 65536 836051036 0.990037 169475 198925 424 194031220 39194776733 16732 3474457 0.851954 -1 4134303 
20500001 2 normal 800000000 -36831232 763168768 80000000 10 65536 651181345 1.17198 245439 250000 0 35180459 11789702360 0 0 0.981756 -1 1943973 
20500001 1 normal 800000000 36831232 836831232 80000000 10 65536 835793873 1.00124 211984 248674 563 200053376 40412412952 23380 4851325 0.852457 -1 4133542 
20600001 2 normal 800000000 -49741824 750258176 80000000 10 65536 651502136 1.15158 294544 300000 0 36229011 12140680240 0 0 0.981813 -1 1945120 
20600001 1 normal 800000000 49741824 849741824 80000000 10 65536 836783087 1.01549 254339 298382 760 205487310 41512588303 30440 6263060 0.852394 -1 4138252 
20700001 2 normal 800000000 -64618496 735381504 80000000 10 65536 651747745 1.12832 343722 350000 0 37207878 12469209315 0 0 0.982063 -1 1946059 
20700001 1 normal 800000000 64618496 864618496 80000000 10 65536 837228437 1.03272 296770 348114 987 210529755 42531345930 36081 7383960 0.852508 -1 4139742 
20800001 2 normal 800000000 -82837504 717162496 80000000 10 65536 652328200 1.09939 392802 400000 0 38210574 12805946006 0 0 0.982005 -1 1948007 
20800001 1 normal 800000000 82837504 882837504 80000000 10 65536 836000271 1.05603 339347 397840 1265 216031493 43644780511 39518 8063752 0.852974 -1 4133560 
20900001 2 normal 800000000 -101449728 698550272 80000000 10 65536 651554922 1.07213 441954 450000 0 39275232 13161523050 0 0 0.98212 -1 1945954 
20900001 1 normal 800000000 101449728 901449728 80000000 10 65536 835075449 1.07948 381918 447538 1549 220915494 44631473726 39518 8063752 0.853376 -1 4129437 
21000001 2 normal 800000000 -119406592 680593408 80000000 10 65536 647922310 1.05042 491095 500000 5 42132712 14116645754 3094 1010719 0.98219 0.98219 1935402 
21000001 1 normal 800000000 119406592 919406592 80000000 10 65536 839419476 1.09529 424522 497272 1828 222833905 45019799120 39518 8063752 0.853702 -1 4150958 
21100001 2 normal 800000000 -135200768 664799232 80000000 10 65536 646181904 1.02881 540189 550000 48 45411296 15215549211 10098 3369598 0.982162 -1 1930244 
21100001 1 normal 800000000 135200768 935200768 80000000 10 65536 841511743 1.11133 467048 546976 2112 225094684 45475910054 39518 8063752 0.853873 0.853873 4161265 
21200001 2 normal 800000000 -150142976 649857024 80000000 10 65536 645073333 1.00742 589335 600000 108 48506045 16254425093 17697 5893119 0.982225 -1 1926380 
21200001 1 normal 800000000 150142976 950142976 80000000 10 65536 843507155 1.12642 509684 596733 2400 227138331 45888962638 39518 8063752 0.854124 -1 4170409 
