time app subpolicy target_mem credit_bytes share min_mem min_mem_pct steal_size bytes_in_use need hits accesses shadow_q_hits survivor_items survivor_bytes evicted_items evicted_bytes hit_rate w_hit_rate live_items 
20000000 2 normal 800000000 0 800000000 80000000 10 65536 649566919 1.23159 0 0 0 31298146 10491612413 0 0 -nan -1 1939844 
20000000 1 normal 800000000 0 800000000 80000000 10 65536 831477824 0.962142 0 0 183 174683856 35304868325 9040 1853541 -nan -1 4112502 
20200001 2 normal 800000000 0 800000000 80000000 10 65536 650352081 1.2301 98110 100000 0 33144536 11110853074 0 0 0.9811 -1 1942200 
20200001 1 normal 800000000 0 800000000 80000000 10 65536 833843104 0.959413 84443 99440 391 184923375 37374149259 17410 3517624 0.849185 -1 4123534 
20300001 2 normal 800000000 0 800000000 80000000 10 65536 650899163 1.22907 147183 150000 0 34104958 11432317853 0 0 0.98122 -1 1943367 
20300001 1 normal 800000000 0 800000000 80000000 10 65536 834566046 0.958582 126840 149188 516 190491841 38501228224 21029 4258721 0.850202 -1 4127359 
20400001 2 normal 800000000 0 800000000 80000000 10 65536 650825121 1.22921 196292 200000 0 35103849 11767030356 0 0 0.98146 -1 1943298 
20400001 1 normal 800000000 0 800000000 80000000 10 65536 835653231 0.957335 169254 198925 700 196011015 39616492535 25795 5267665 0.850843 -1 4132377 
20500001 2 normal 800000000 0 800000000 80000000 10 65536 650951322 1.22897 245420 250000 0 36184510 12128599057 0 0 0.98168 -1 1943444 
20500001 1 normal 800000000 0 800000000 80000000 10 65536 834757315 0.958362 211702 248674 901 201915486 40810857483 34976 7155762 0.851323 -1 4127754 
20600001 2 normal 800000000 0 800000000 80000000 10 65536 650759839 1.22933 294517 300000 0 37155401 12452598185 0 0 0.981723 -1 1942888 
20600001 1 normal 800000000 0 800000000 80000000 10 65536 835443999 0.957575 253997 298382 1157 207451061 41936495873 38302 7806818 0.851248 -1 4131247 
20700001 2 normal 800000000 0 800000000 80000000 10 65536 651841751 1.22729 343698 350000 0 38060802 12756723398 0 0 0.981994 -1 1946184 
20700001 1 normal 800000000 0 800000000 80000000 10 65536 835557379 0.957445 296355 348114 1457 213119541 43084329986 46289 9385224 0.851316 -1 4131120 
20800001 2 normal 800000000 0 800000000 80000000 10 65536 651664448 1.22763 392783 400000 0 39091722 13102428138 0 0 0.981958 -1 1946310 
20800001 1 normal 800000000 0 800000000 80000000 10 65536 836227794 0.956677 338840 397840 1827 218597343 44190644538 52677 10689521 0.851699 -1 4134568 
20900001 2 normal 800000000 0 800000000 80000000 10 65536 652292446 1.22644 441922 450000 0 40035579 13419095948 0 0 0.982049 -1 1948322 
20900001 1 normal 800000000 0 800000000 80000000 10 65536 835854058 0.957105 381296 447538 2208 224197166 45325189739 58095 11723300 0.851986 -1 4131986 
21000001 2 normal 800000000 0 800000000 80000000 10 65536 652659404 1.22575 491052 500000 0 41032334 13754004685 0 0 0.982104 0.982104 1949487 
21000001 1 normal 800000000 0 800000000 80000000 10 65536 835665469 0.957321 423767 497272 2560 229720427 46441473568 65028 13162939 0.852184 -1 4131642 
21100001 2 normal 800000000 0 800000000 80000000 10 65536 652793475 1.2255 540148 550000 0 42012524 14082990220 0 0 0.982087 -1 1949817 
21100001 1 normal 800000000 0 800000000 80000000 10 65536 836440132 0.956434 466137 546976 2958 235268711 47562464313 68612 13950697 0.852207 0.852207 4136252 
21200001 2 normal 800000000 0 800000000 80000000 10 65536 653233034 1.22468 589311 600000 0 42998007 14412597004 0 0 0.982185 -1 1950787 
21200001 1 normal 800000000 0 800000000 80000000 10 65536 836445292 0.956428 508646 596733 3352 240818538 48683868588 77532 15754067 0.852385 -1 4135783 
21300001 2 normal 800000000 0 800000000 80000000 10 65536 653311260 1.22453 638461 650000 0 44012163 14752155540 0 0 0.982248 -1 1951364 
